出现时间,弹幕类型,字的大小,颜色,弹幕添加时间戳,unknown_5,unknown_6,unknown_7,unknown_8,弹幕内容
2.025,1,25,16777215,1630582903,0,872ac1ad,5.43E+16,1,行不行啊 小凤
2.031,1,25,16777215,1630590955,0,bd65893,5.43E+16,9,冠军！
2.059,1,25,16777215,1630593556,0,ad340774,5.43E+16,1,我要吹一年
2.062,1,25,16777215,1630589779,0,69743281,5.43E+16,1,xdm12.12
2.11,1,25,16777215,1630591754,0,721b1080,5.43E+16,1,恭喜edg 
2.11,1,25,16777215,1630590596,0,8f05ddc9,5.43E+16,1,我们是冠军！！！edg
2.11,1,25,16777215,1630626408,0,dc37d8b6,5.43E+16,0,金咕咕加油呀，你是世界第一的国产中单
2.144,1,25,16777215,1630594061,0,d47142,5.43E+16,9,恭喜电宝！！！
2.151,5,25,15138834,1630667644,0,5012ca7f,5.43E+16,1,我们是冠军！！！
2.155,1,25,16777215,1630590308,0,b4986e48,5.43E+16,1,我们是冠军
2.193,5,25,16777215,1630595304,0,483bc4a2,5.43E+16,10,失去的我们都会拿回来的！
2.193,5,25,16777215,1630595278,0,483bc4a2,5.43E+16,1,捧杯吧edg！！
2.193,5,25,15138834,1630595250,0,483bc4a2,5.43E+16,1,我们是冠军！我们是六冠王！！
2.199,1,25,16777215,1630591078,0,37af4c42,5.43E+16,9,凤一其随。
2.259,5,25,15138834,1630593060,0,7c7dad74,5.43E+16,1,凤一其随
2.262,1,25,15138834,1630589359,0,51794f7e,5.43E+16,1,快进到一号种子EDG八强出局
2.322,1,25,16777215,1630591176,0,6653e6d1,5.43E+16,1,你知道我这四年怎么过的嘛？
2.382,5,25,15138834,1630594098,0,63c5e70a,5.43E+16,1,我们真的是冠军
2.439,5,25,16646914,1630591150,0,fb0269a1,5.43E+16,0,恭喜FPX！！！凤凰再次涅槃！！！
2.451,1,25,16777215,1630591558,0,f1daaf3,5.43E+16,8,恭喜edg！！！！！！！
2.458,1,25,16777215,1630597836,0,d9ce9a15,5.43E+16,8,恭喜EDG！
2.481,1,25,16777215,1630592354,0,85aa9bd4,5.43E+16,1,我们是冠军！
2.502,1,25,16777215,1630584952,0,2d704d7,5.43E+16,8,卧槽，1
2.502,5,25,38979,1630596552,0,e49736e8,5.43E+16,0,真•大韩双C
2.519,1,25,16777215,1630589615,0,112123ed,5.43E+16,1,恭喜edg！
2.521,1,25,16777215,1630596995,0,dd45f899,5.43E+16,1,哈哈哈哈哈哈哈，本淀粉来看录播了
2.599,1,25,16777215,1630591338,0,b59c6ca0,5.43E+16,1,nice
2.611,1,25,16777215,1630592509,0,67146197,5.43E+16,1,冠军皮肤！
2.642,5,25,41194,1630599815,0,ff4ff947,5.43E+16,0,没有平行世界，这就是我们的时代！
2.662,1,25,16777215,1630590351,0,d74bdf6f,5.43E+16,1,恭喜edg
2.699,1,25,16777215,1630589567,0,ef6edeb6,5.43E+16,1,恭喜EDG！希望世界赛加油，要求不高，突破八强魔咒就行。但是我记得jiejie的一句话：EDG的目标一直都是冠军！
2.714,4,25,16646914,1630591665,0,28d69b6b,5.43E+16,1,我们是冠军！！！
2.722,1,25,16777215,1630664252,0,53d1fa80,5.43E+16,1,反弹
2.722,1,25,16777215,1630583452,0,5299cb7f,5.43E+16,0,那一日，edg重回内战幻神境
2.792,1,25,16777215,1630591185,0,dfae8a56,5.43E+16,1,我们是冠军！！！！！
2.839,1,25,16777215,1630592492,0,6e6f1b97,5.43E+16,1,还好没压
2.902,1,25,16777215,1630590162,0,5675ccf5,5.43E+16,10,断剑重铸之日，骑士归来之时！
3.006,5,25,15138834,1630589589,0,1cc80ff,5.43E+16,1,我们是冠军
3.019,1,25,16777215,1630604077,0,8598f361,5.43E+16,1,快进到edg勇夺16强
3.019,1,25,16777215,1630595191,0,d60eaa96,5.43E+16,1,哦！！！fpx输咯！
3.019,1,25,16777215,1630592587,0,f8c1ed9a,5.43E+16,1,我们是冠军
3.019,1,25,16777215,1630590142,0,c74ee5fd,5.43E+16,0,FPX日常决赛拉胯
3.049,1,25,16777215,1630593016,0,eaca4074,5.43E+16,1,舒服
3.059,1,25,16777215,1630622091,0,dc095e77,5.43E+16,9,过年了！
3.091,1,25,15138834,1630628171,0,3748a71b,5.43E+16,0,我们是冠军
3.121,1,25,16777215,1630590707,0,6132cb55,5.43E+16,1,"我们是冠军,FPX也牛逼！！！"
3.131,1,25,16777215,1630744518,0,481abc4d,5.43E+16,9,凤一其随
3.138,1,25,16777215,1630815214,0,92ab5d24,5.44E+16,1,我们是冠军！
3.139,1,25,16777215,1630591247,0,53ed84e4,5.43E+16,1,我们是冠军
3.168,1,25,16777215,1630582128,0,c6f119cc,5.43E+16,1,.
3.179,1,25,15138834,1630590005,0,af077ee6,5.43E+16,0,我们是冠军
3.199,1,25,16777215,1630590761,0,a6912f5,5.43E+16,9,泪目
3.219,1,25,16777215,1630592724,0,95a61ecc,5.43E+16,1,皮肤选寡妇
3.22,5,25,41194,1630653209,0,217c5f3c,5.43E+16,1,卧槽 预测中了
3.22,1,25,16777215,1630589404,0,b935cc4,5.43E+16,1,恭喜edg
3.241,1,25,16777215,1630589762,0,ed2b1164,5.43E+16,1,学弟啊啊我的超人
3.262,1,25,16777215,1630594765,0,573b53e3,5.43E+16,9,卧槽卧槽
3.275,5,25,16646914,1630590249,0,dfd3cb6a,5.43E+16,1,恭喜EDG！
